model,draw,source_band,test_band,circuit_type,ablation,n_edges,accuracy,top5_accuracy
pythia-410m,draw_1,low,low,cross_band,resample,3957,0.9377777777777778,0.9911111111111112
pythia-410m,draw_1,low,medium,cross_band,resample,3957,0.9866666666666667,1.0
pythia-410m,draw_1,low,high,cross_band,resample,3957,0.9733333333333334,0.9911111111111112
pythia-410m,draw_1,low,very_high,cross_band,resample,3957,0.9511111111111111,0.9866666666666667
pythia-410m,draw_1,low,control,cross_band,resample,3957,0.9644444444444444,0.9955555555555555
pythia-410m,draw_1,medium,low,cross_band,resample,3809,0.9155555555555556,0.9733333333333334
pythia-410m,draw_1,medium,medium,cross_band,resample,3809,0.9777777777777777,1.0
pythia-410m,draw_1,medium,high,cross_band,resample,3809,0.9733333333333334,0.9866666666666667
pythia-410m,draw_1,medium,very_high,cross_band,resample,3809,0.9555555555555556,0.9866666666666667
pythia-410m,draw_1,medium,control,cross_band,resample,3809,0.9555555555555556,0.9866666666666667
pythia-410m,draw_1,high,low,cross_band,resample,3480,0.8977777777777778,0.9733333333333334
pythia-410m,draw_1,high,medium,cross_band,resample,3480,0.9688888888888889,1.0
pythia-410m,draw_1,high,high,cross_band,resample,3480,0.9688888888888889,0.9955555555555555
pythia-410m,draw_1,high,very_high,cross_band,resample,3480,0.9466666666666667,0.9911111111111112
pythia-410m,draw_1,high,control,cross_band,resample,3480,0.9511111111111111,0.9955555555555555
pythia-410m,draw_1,very_high,low,cross_band,resample,3131,0.8622222222222222,0.9511111111111111
pythia-410m,draw_1,very_high,medium,cross_band,resample,3131,0.9688888888888889,0.9955555555555555
pythia-410m,draw_1,very_high,high,cross_band,resample,3131,0.96,0.9955555555555555
pythia-410m,draw_1,very_high,very_high,cross_band,resample,3131,0.9555555555555556,0.9866666666666667
pythia-410m,draw_1,very_high,control,cross_band,resample,3131,0.9466666666666667,0.9911111111111112
pythia-410m,draw_1,control,low,cross_band,resample,3425,0.8711111111111111,0.96
pythia-410m,draw_1,control,medium,cross_band,resample,3425,0.9644444444444444,0.9955555555555555
pythia-410m,draw_1,control,high,cross_band,resample,3425,0.9688888888888889,0.9955555555555555
pythia-410m,draw_1,control,very_high,cross_band,resample,3425,0.9555555555555556,0.9822222222222222
pythia-410m,draw_1,control,control,cross_band,resample,3425,0.9644444444444444,0.9955555555555555
pythia-410m,draw_2,low,low,cross_band,resample,3848,0.9422222222222222,0.9822222222222222
pythia-410m,draw_2,low,medium,cross_band,resample,3848,0.9733333333333334,0.9911111111111112
pythia-410m,draw_2,low,high,cross_band,resample,3848,0.9688888888888889,0.9911111111111112
pythia-410m,draw_2,low,very_high,cross_band,resample,3848,0.9377777777777778,0.9822222222222222
pythia-410m,draw_2,low,control,cross_band,resample,3848,0.9511111111111111,1.0
pythia-410m,draw_2,medium,low,cross_band,resample,3709,0.9288888888888889,0.9866666666666667
pythia-410m,draw_2,medium,medium,cross_band,resample,3709,0.9822222222222222,0.9955555555555555
pythia-410m,draw_2,medium,high,cross_band,resample,3709,0.9777777777777777,0.9911111111111112
pythia-410m,draw_2,medium,very_high,cross_band,resample,3709,0.9466666666666667,0.9911111111111112
pythia-410m,draw_2,medium,control,cross_band,resample,3709,0.9644444444444444,0.9911111111111112
pythia-410m,draw_2,high,low,cross_band,resample,3483,0.9244444444444444,0.9866666666666667
pythia-410m,draw_2,high,medium,cross_band,resample,3483,0.9733333333333334,0.9955555555555555
pythia-410m,draw_2,high,high,cross_band,resample,3483,0.9555555555555556,0.9866666666666667
pythia-410m,draw_2,high,very_high,cross_band,resample,3483,0.9644444444444444,0.9911111111111112
pythia-410m,draw_2,high,control,cross_band,resample,3483,0.96,0.9955555555555555
pythia-410m,draw_2,very_high,low,cross_band,resample,3476,0.8933333333333333,0.9688888888888889
pythia-410m,draw_2,very_high,medium,cross_band,resample,3476,0.9333333333333333,0.9911111111111112
pythia-410m,draw_2,very_high,high,cross_band,resample,3476,0.9644444444444444,0.9955555555555555
pythia-410m,draw_2,very_high,very_high,cross_band,resample,3476,0.9555555555555556,0.9866666666666667
pythia-410m,draw_2,very_high,control,cross_band,resample,3476,0.9644444444444444,0.9911111111111112
pythia-410m,draw_2,control,low,cross_band,resample,3317,0.8977777777777778,0.9777777777777777
pythia-410m,draw_2,control,medium,cross_band,resample,3317,0.9511111111111111,0.9955555555555555
pythia-410m,draw_2,control,high,cross_band,resample,3317,0.9555555555555556,0.9866666666666667
pythia-410m,draw_2,control,very_high,cross_band,resample,3317,0.9466666666666667,0.9866666666666667
pythia-410m,draw_2,control,control,cross_band,resample,3317,0.9644444444444444,0.9955555555555555
pythia-410m,draw_3,low,low,cross_band,resample,4122,0.96,0.9955555555555555
pythia-410m,draw_3,low,medium,cross_band,resample,4122,0.9688888888888889,0.9955555555555555
pythia-410m,draw_3,low,high,cross_band,resample,4122,0.9911111111111112,1.0
pythia-410m,draw_3,low,very_high,cross_band,resample,4122,0.9644444444444444,0.9955555555555555
pythia-410m,draw_3,low,control,cross_band,resample,4122,0.9777777777777777,0.9955555555555555
pythia-410m,draw_3,medium,low,cross_band,resample,3920,0.9555555555555556,1.0
pythia-410m,draw_3,medium,medium,cross_band,resample,3920,0.9644444444444444,0.9955555555555555
pythia-410m,draw_3,medium,high,cross_band,resample,3920,0.9911111111111112,1.0
pythia-410m,draw_3,medium,very_high,cross_band,resample,3920,0.9466666666666667,0.9822222222222222
pythia-410m,draw_3,medium,control,cross_band,resample,3920,0.9555555555555556,0.9955555555555555
pythia-410m,draw_3,high,low,cross_band,resample,3379,0.9111111111111111,0.9866666666666667
pythia-410m,draw_3,high,medium,cross_band,resample,3379,0.9555555555555556,0.9777777777777777
pythia-410m,draw_3,high,high,cross_band,resample,3379,0.9777777777777777,0.9955555555555555
pythia-410m,draw_3,high,very_high,cross_band,resample,3379,0.9466666666666667,0.9822222222222222
pythia-410m,draw_3,high,control,cross_band,resample,3379,0.9333333333333333,0.9955555555555555
pythia-410m,draw_3,very_high,low,cross_band,resample,3280,0.8355555555555556,0.9644444444444444
pythia-410m,draw_3,very_high,medium,cross_band,resample,3280,0.8844444444444445,0.9644444444444444
pythia-410m,draw_3,very_high,high,cross_band,resample,3280,0.9822222222222222,0.9955555555555555
pythia-410m,draw_3,very_high,very_high,cross_band,resample,3280,0.9777777777777777,0.9911111111111112
pythia-410m,draw_3,very_high,control,cross_band,resample,3280,0.9822222222222222,0.9955555555555555
pythia-410m,draw_3,control,low,cross_band,resample,3382,0.9244444444444444,0.9733333333333334
pythia-410m,draw_3,control,medium,cross_band,resample,3382,0.9377777777777778,0.9955555555555555
pythia-410m,draw_3,control,high,cross_band,resample,3382,0.9777777777777777,1.0
pythia-410m,draw_3,control,very_high,cross_band,resample,3382,0.9511111111111111,0.9955555555555555
pythia-410m,draw_3,control,control,cross_band,resample,3382,0.9777777777777777,0.9911111111111112
